record_date,volume,avg_price
4/1/2015,3448899909,5.84
4/2/2015,2725377185,5.7
4/3/2015,2312541906,5.75
4/4/2015,3323755261,5.77
4/5/2015,4662993455,5.8
4/6/2015,3853196700,5.8
4/7/2015,2484443957,5.81
4/8/2015,2976251088,5.81
4/9/2015,2837909726,5.74
4/10/2015,1689560272,5.78
4/11/2015,1858733027,5.66
4/12/2015,3258405992,5.63
4/13/2015,2462062245,5.49
4/14/2015,3560527920,5.69
4/15/2015,2497443427,5.69
4/16/2015,3208427819,5.55
4/17/2015,5323178749,5.77
4/18/2015,2934227429,5.49
4/19/2015,2432844012,5.49
4/20/2015,2090325928,5.54
4/21/2015,2233923339,5.43
4/22/2015,2226650177,5.34
4/23/2015,2689450535,5.03
4/24/2015,3120462818,5.21
4/25/2015,3149546348,5.15
4/26/2015,2982874120,5.19
4/27/2015,4073543796,5.22
4/28/2015,2943499569,5.31
4/29/2015,2164435837,5.28
4/30/2015,2598365261,5.25
5/1/2015,1892912597,5.14
5/2/2015,3996039854,5.18
5/3/2015,2945471606,5.1
5/4/2015,2465853554,5.01
5/5/2015,1967922653,5.06
5/6/2015,1501707143,5.03
5/7/2015,1768225231,5.06
5/8/2015,2260954942,5.1
5/9/2015,2164003834,5.09
5/10/2015,3110484399,5.06
5/11/2015,3128597650,5.08
5/12/2015,2050356981,5.1
5/13/2015,3291196632,5.08
5/14/2015,9077344410,4.96
5/15/2015,2949463838,5.07
5/16/2015,2486901207,5.07
5/17/2015,3021318594,5.07
5/18/2015,4916181218,5.04
5/19/2015,2648019539,5
5/20/2015,2387772546,5.09
5/21/2015,3241254372,5.13
5/22/2015,2774422427,5.07
5/23/2015,2459131994,5
5/24/2015,3244978733,5.02
5/25/2015,2582824658,4.97
5/26/2015,2810904609,5.19
5/27/2015,2825222417,5.04
5/28/2015,2478139804,5.05
5/29/2015,2832297523,5.05
5/30/2015,4602802861,5.02
5/31/2015,3119641020,5.03
6/1/2015,2344475814,5
6/2/2015,1941318550,5.07
6/3/2015,1790681870,5.03
6/4/2015,2610134130,5.08
6/5/2015,2468589655,5.13
6/6/2015,2470565584,5.08
6/7/2015,2901488203,5.1
6/8/2015,3672363582,5.06
6/9/2015,2414777931,5.1
6/10/2015,1125765208,5.1
6/11/2015,2092385643,5.02
6/12/2015,2770662788,5.28
6/13/2015,1828786716,5.18
6/14/2015,2707506246,5.12
6/15/2015,3551529637,5.13
6/16/2015,1467186398,5.11
6/17/2015,2080899771,5.16
6/18/2015,2214899168,5.1
6/19/2015,1052071740,5.12
6/20/2015,1529041385,5.15
6/21/2015,1302503562,5.12
6/22/2015,1440558846,5.09
6/23/2015,2083029173,5.14
6/24/2015,2536932190,5.07
6/25/2015,2433170561,4.99
6/26/2015,1795453833,5
6/27/2015,2545105690,5.02
6/28/2015,2142065358,5.08
6/29/2015,2914602943,5.18
6/30/2015,1515018882,5.17
7/1/2015,1932033935,5.1
7/2/2015,1035693870,5.08
7/3/2015,2712477020,5.11
7/4/2015,1982503486,5.02
7/5/2015,2341492975,5.02
7/6/2015,2194773537,5
7/7/2015,1243907820,5
7/8/2015,2230092123,5.12
7/9/2015,1880533647,5.03
7/10/2015,1224765223,5.05
7/11/2015,3226785515,5.03
7/12/2015,2192712275,5.03
7/13/2015,2764613922,5.01
7/14/2015,1770732651,5.02
7/15/2015,1057151957,5.04
7/16/2015,1548994073,5.09
7/17/2015,2562775955,5.07
7/18/2015,2501039399,5.18
7/19/2015,3477483287,5.17
7/20/2015,2391167750,5.14
7/21/2015,3631178980,5.14
7/22/2015,4100039007,5.01
7/23/2015,1921277048,5.01
7/24/2015,2173883589,5.03
7/25/2015,2297809925,5
7/26/2015,3911557785,5.03
7/27/2015,1727037078,5.03
7/28/2015,1847359108,5.04
7/29/2015,2599778043,5.05
7/30/2015,1765753686,5.05
7/31/2015,3413514488,5.01
8/1/2015,3581020829,4.97
8/2/2015,3236278106,4.95
8/3/2015,1995427387,5.01
8/4/2015,1633734536,5
8/5/2015,4441340520,5.11
8/6/2015,1309141005,4.98
8/7/2015,2269713724,4.95
8/8/2015,2394578865,4.93
8/9/2015,2783455469,5.01
8/10/2015,1555664042,5.03
8/11/2015,1871746635,5.02
8/12/2015,2071296272,5.06
8/13/2015,2002974995,5.09
8/14/2015,3522239250,5.09
8/15/2015,2945586234,5.05
8/16/2015,3444623551,5.1
8/17/2015,1306822850,5.06
8/18/2015,2764147306,5.08
8/19/2015,1825685840,5.09
8/20/2015,1820533244,5.03
8/21/2015,3107288284,5.09
8/22/2015,2352427495,5.1
8/23/2015,2098751814,5.07
8/24/2015,2448383127,5.07
8/25/2015,1894214344,5.23
8/26/2015,1745098037,5.08
8/27/2015,1374302053,5.16
8/28/2015,1954366517,5.15
8/29/2015,2162544604,5.18
8/30/2015,3399108451,5.21
8/31/2015,2962767283,5.23
9/1/2015,2377084397,5.24
9/2/2015,1675617261,5.07
9/3/2015,2300699856,5.08
9/4/2015,2106804041,5.19
9/5/2015,3069007143,5.12
9/6/2015,2500173407,5.15
9/7/2015,1723864508,5.12
9/8/2015,3496788553,5.1
9/9/2015,3085054159,5.14
9/10/2015,2453394278,5.12
9/11/2015,2099574969,5.08
9/12/2015,2998723919,5.21
9/13/2015,2380845127,5.19
9/14/2015,2773631874,5.26
9/15/2015,3311881910,5.2
9/16/2015,1552221548,5.25
9/17/2015,1904385154,5.18
9/18/2015,1042647609,5.24
9/19/2015,2854184214,5.29
9/20/2015,3643589112,5.25
9/21/2015,1798459365,5.22
9/22/2015,3682929085,5.2
9/23/2015,2163653443,5.38
