,actual,forecast_1,forecast_2,forecast_3,forecast_4,forecast_5,forecast_6,forecast_7
2016-01-01,6.099999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-02,6.070000171661377,6.1,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-03,6.130000114440918,6.0862784,6.1,0.0,0.0,0.0,0.0,0.0
2016-01-04,6.039999961853027,6.1101108,6.092836,6.1,0.0,0.0,0.0,0.0
2016-01-05,6.039999961853027,6.072475,6.1019874,6.092836,6.1,0.0,0.0,0.0
2016-01-06,6.059999942779541,6.0696354,6.085964,6.1017113,6.092836,6.1,0.0,0.0
2016-01-07,6.079999923706055,6.0717907,6.079903,6.086451,6.1017113,6.092836,6.1,0.0
2016-01-08,6.039999961853027,6.0788674,6.0752344,6.0804715,6.086974,6.1017113,6.0928354,6.1
2016-01-09,6.039999961853027,6.0521536,6.077117,6.075483,6.0809326,6.086974,6.1017113,6.0928354
2016-01-10,6.099999904632568,6.048562,6.0595646,6.077078,6.0758467,6.0757565,6.086974,6.1017113
2016-01-11,6.119999885559082,6.074539,6.054203,6.0598593,6.077139,6.0730133,6.075756,6.086974
2016-01-12,6.050000190734863,6.0937247,6.0657177,6.0545154,6.0601707,6.0752654,6.0719934,6.075756
2016-01-13,6.090000152587891,6.063876,6.0826387,6.065403,6.054794,6.056118,6.0749383,6.0719934
2016-01-14,6.03000020980835,6.0816545,6.070738,6.0820823,6.065175,6.051709,6.054544,6.073905
2016-01-15,6.079999923706055,6.0508084,6.078134,6.070915,6.0816097,6.067591,6.050511,6.051814
2016-01-16,6.110000133514404,6.0747685,6.061244,6.078055,6.070999,6.085586,6.0682096,6.0473223
2016-01-17,6.150000095367432,6.0945597,6.0717826,6.0616484,6.077874,6.069635,6.08681,6.068882
2016-01-18,5.989999771118164,6.1201873,6.085729,6.0717616,6.062096,6.080493,6.0690255,6.0890956
2016-01-19,5.949999809265137,6.037923,6.1047225,6.085327,6.071708,6.058707,6.0811095,6.067889
2016-01-20,5.960000038146973,6.004061,6.0611243,6.103982,6.085046,6.0715876,6.0579515,6.081941
2016-01-21,6.050000190734863,5.993376,6.030466,6.0619464,6.1032524,6.0881605,6.071861,6.056101
2016-01-22,6.099999904632568,6.0368342,6.0112886,6.0318117,6.0626407,6.109486,6.0888896,6.072912
2016-01-23,6.170000076293945,6.0660825,6.0307965,6.0123086,6.032939,6.056054,6.111427,6.0909934
2016-01-24,6.139999866485596,6.109041,6.0505576,6.030722,6.013496,6.0226207,6.0538163,6.1149716
2016-01-25,6.099999904632568,6.100876,6.081922,6.0498424,6.0309033,6.0032077,6.019654,6.049481
2016-01-26,6.079999923706055,6.0914917,6.0867906,6.080623,6.0493355,6.0269217,6.000412,6.013053
2016-01-27,6.070000171661377,6.088709,6.089514,6.085924,6.079335,6.0518546,6.0261755,5.994917
2016-01-28,6.090000152587891,6.0892997,6.091575,6.0892887,6.0849557,6.090382,6.0519524,6.025162
2016-01-29,6.090000152587891,6.0990434,6.093667,6.091676,6.088817,6.0951023,6.0929112,6.053024
2016-01-30,6.03000020980835,6.09789,6.097996,6.093879,6.0916376,6.0949445,6.097603,6.0967274
2016-01-31,6.050000190734863,6.0593567,6.0970926,6.0979958,6.094062,6.094576,6.0969234,6.1011786
2016-02-01,6.050000190734863,6.058857,6.0718646,6.0970483,6.098023,6.093582,6.095877,6.0999227
2016-02-02,5.980000019073486,6.055234,6.0640063,6.0723834,6.097048,6.097941,6.094196,6.0988545
2016-02-03,6.070000171661377,6.0155115,6.0591536,6.064349,6.072865,6.0967793,6.098309,6.096316
2016-02-04,6.110000133514404,6.053836,6.0337963,6.0593705,6.064666,6.06769,6.096755,6.100586
2016-02-05,6.139999866485596,6.0782175,6.0480814,6.0346055,6.059695,6.0616283,6.0660806,6.097501
2016-02-06,6.03000020980835,6.1010447,6.065093,6.0480223,6.0354214,6.0565586,6.060609,6.0629315
2016-02-07,6.070000171661377,6.0517693,6.0844975,6.064482,6.048004,6.026171,6.0556602,6.058381
2016-02-08,6.019999980926514,6.067619,6.0632176,6.0836678,6.0640774,6.0476966,6.0234585,6.0535946
2016-02-09,6.099999904632568,6.0417013,6.0675898,6.0635333,6.0828276,6.0677066,6.047257,6.018022
2016-02-10,5.980000019073486,6.085863,6.052609,6.0677037,6.0637074,6.089414,6.0686355,6.046412
2016-02-11,5.909999847412109,6.0246596,6.0766783,6.0530677,6.067654,6.062527,6.091252,6.0698123
2016-02-12,5.75,5.9723816,6.043899,6.076401,6.0536118,6.0693827,6.061669,6.0946846
2016-02-13,5.909999847412109,5.861628,6.0023274,6.0446167,6.076138,6.04979,6.070054,6.0597086
2016-02-14,5.949999809265137,5.9185653,5.919396,6.0037823,6.0454006,6.077658,6.049026,6.0703816
2016-02-15,5.949999809265137,5.9337215,5.9275637,5.922131,6.0050726,6.0376477,6.0785685,6.0478024
2016-02-16,5.900000095367432,5.9354234,5.931827,5.928523,5.9249043,5.9912777,6.0350366,6.0811534
2016-02-17,5.78000020980835,5.899383,5.933981,5.931837,5.929717,5.898334,5.9872003,6.0306807
2016-02-18,5.889999866485596,5.828863,5.909214,5.9339004,5.932397,5.9160843,5.890175,5.9782934
2016-02-19,5.889999866485596,5.873221,5.862576,5.9096127,5.9339094,5.924028,5.9123096,5.8736467
2016-02-20,5.860000133514404,5.8870935,5.8748384,5.8640947,5.909972,5.9283633,5.921017,5.904047
2016-02-21,5.900000095367432,5.871861,5.8883243,5.875244,5.8655186,5.905557,5.9258885,5.915437
2016-02-22,5.809999942779541,5.8853965,5.879355,5.888391,5.875723,5.851599,5.902642,5.91979
2016-02-23,5.889999866485596,5.8362103,5.882357,5.8796816,5.888776,5.8711143,5.847233,5.8950458
2016-02-24,5.900000095367432,5.8700094,5.8535686,5.882303,5.880007,5.884032,5.8698044,5.835127
2016-02-25,5.889999866485596,5.885897,5.865735,5.8542686,5.882264,5.8736014,5.882669,5.8666425
2016-02-26,5.900000095367432,5.8842125,5.8804574,5.865729,5.8550024,5.882487,5.871433,5.8800154
2016-02-27,5.960000038146973,5.8890657,5.882257,5.8801837,5.8656936,5.847614,5.881613,5.8671227
2016-02-28,5.739999771118164,5.9258795,5.8853908,5.8821187,5.8800898,5.8653226,5.8453836,5.8792877
2016-02-29,5.869999885559082,5.8142085,5.909966,5.885215,5.8819466,5.8812885,5.8651776,5.838963
2016-03-01,5.809999942779541,5.8685503,5.850184,5.9092574,5.884997,5.881996,5.881433,5.8647943
2016-03-02,5.989999771118164,5.836284,5.867518,5.851538,5.9085674,5.887545,5.8820944,5.8816576
2016-03-03,5.920000076293945,5.9277534,5.848613,5.867835,5.852786,5.9158893,5.8878136,5.8818717
2016-03-04,5.949999809265137,5.9042315,5.8977923,5.8491206,5.8679843,5.8406167,5.918172,5.888531
2016-03-05,5.920000076293945,5.923907,5.8967257,5.8966527,5.849944,5.866845,5.8371696,5.921818
2016-03-06,6.019999980926514,5.907247,5.911635,5.8961067,5.895563,5.8432827,5.866562,5.830428
2016-03-07,5.929999828338623,5.974918,5.904463,5.9110413,5.8956385,5.9029307,5.841415,5.8662963
2016-03-08,5.860000133514404,5.9405103,5.9509397,5.904221,5.9101934,5.9003577,5.905551,5.8377423
2016-03-09,5.920000076293945,5.9074397,5.941931,5.9499006,5.9039207,5.9174037,5.90075,5.911069
2016-03-10,5.949999809265137,5.9236135,5.9238214,5.9417486,5.948799,5.909705,5.9195633,5.9024434
